Column1;acctdesc;location;following;followers;totaltweets;usercreatedts;tweetcreatedts;retweetcount;hashtags;text;target
153;Mi razón de vivir mis angelitos, mi pasión los animales, la música, la naturaleza, mi amor en este momento VOX, mi pecado hombres con uniforme, #chicasvox52;Las Palmas de Gran Canaria, Es;1360;1336;3587;08/04/2013 15:17;09/11/2020 21:55;0;[];con tanto inmigrante, esta todo descontrolado, mientras los canarios estan encerrados en casa ellos estan en grupos sin mascarillas en la playa, pasean todas las calles, se divierten en el parque de atracciones y no importa ellos hacen lo que quieren, beben por las calles;1
154;King Demon.Padre de 11 perros. Prefiero a los perros que a las personas.;Death Valley;409;499;172708;29/07/2014 11:15;09/11/2020 21:53;0;[];Anda a vender droga negro de mierda;1
169;"Vivo en Viña del Mar.
No me gusta la clase política corrupta y esperó un cambió en el Congreso....";;2151;699;32615;27/01/2013 0:55;09/11/2020 21:41;0;[];"@gonzalowinter NO a usted que le pasa porque un inmigrante que lleva menos de 5 años va participar en redactar una constitución.
Parece que no entiende nada,los independiente que son chilenos no pueden y extranjeros si.";1
170;PORQUE A ESTA CAMISETA LA VISTEN LOS GUAPOS Y NO LOS CAGONES... NEWELLS QUERIDO..!! SIEMPRE VOY A ESTAR CONTIGO.. QUE DEJEN LA VIDA ES LO ÚNICO QUE PIDO..;;1304;319;4238;16/03/2015 1:27;09/11/2020 21:40;0;[];@__CarlitosTevez Negro de mierda mala leche hdmp..;1
171;Socialista. Antes votante del PSOE (cuando no eran de derechas). Ahora militante de Podemos desde que nació. Apoyo a Pablo Iglesias. Atea y republicana.;e Madrid;5572;6025;63943;13/08/2015 11:47;09/11/2020 21:40;0;[];@molacocinar1 Si el que no se conforma, es porque no quiere. Que guevona la inmigrante.;1
188;"Ribereta, barcelonesa,  catalana, española, y del mundo al infinito.
Hay que reírse todos los días, y siempre pa lante, para atrás, ni para coger impulso.";;145;346;43916;12/03/2011 19:04;09/11/2020 21:20;0;[];"@en_carcel Te cuento: un inmigrante que no quería ir a donde les llevaban, va y se sube monte arriba, se lia a tirar piedras, ahí tienes al helicóptero, a la policía, a los bomberos, aun no sé si han conseguido bajarlo. 
Ahora voy yo, llamo a los bomberos por incendio y a mi me cobran.";1
190;"ESTE PAIS NO TIENE CURA! ANTIK -ANTIPOPULISTA-
Respeto*Educacion*Esfuerzo*Dedicación*Honorabilidad*
Constancia= Valores que se pierden de a poco..!!";Pilar, Argentina;3307;1979;57997;07/01/2010 20:46;09/11/2020 21:19;0;[];"aca el ESTADO = NOSOTROS
Bancando los viajes de este pedorro delincuente boliviano ..
sera inmune al COVID?? 
USA BARBIJO QUE TE PARIO @evoespueblo NEGRO DE MIERDA!!!!!!!! https://t.co/ub2j32HhJG";1
194;"No Seas Trolo Man.
Hincha del Más grande del Interior🔴⚫
jajaj como te vas a ir 4 veces a la B????";;218;117;6674;05/08/2012 23:56;09/11/2020 21:16;0;[];Que negro de mierda este quemado hijo de puta de Tevez;1
207;;;810;47;2876;06/12/2012 19:22;09/11/2020 21:02;0;[];@Tati_Paultroni @lucianobisbal Tévez negro de mierda macrista;1
217;;Rosario, Argentina;469;154;8146;27/06/2010 0:48;09/11/2020 20:53;0;[];@__CarlitosTevez Negro de mierda sucio mala leche! Son todo lo que esta mal;1
223;"de Racing hasta la médula/arcarepresentacion@gmail.com
empresa ARCCAS representación de futbolistas de Juan bautista Arce";;207;9;90;10/06/2020 13:06;09/11/2020 20:48;0;[];@DiarioOle No fue un choque ole la concha de tu madre, el negro de mierda de Tevez siempre pone la plancha.;1
226;"🇮🇹🇨🇵🇪🇺Des programmes d'éducation et de formation pour nous,facilitent
compréhension mutuelle des valeurs,de la culture et des forces de nos opportunités.";Turin Italy;620;38;2893;11/10/2019 15:25;09/11/2020 20:47;0;[];....De eso los Españoles saben mucho, solo les pido que me hagan mejorar y dominar uno de los idiomas que mas amo en el mundo. En España y solo con Españoles, ningun sudaca de por medio, pase mi mejor verano, en el año mas importante de mi vida....;1
240;De aqui a la eternidad.Estamos perdidos y vendidos.-------;;93;26;551;12/06/2020 17:07;09/11/2020 20:35;0;[];IMPRESIONANTE RESCATE en Canarias de un inmigrante que tiraba GRANDES PI... https://t.co/yjrmPur0sM via @YouTube  Refugiados desde luego que no son ya que en Algeria o Marruecos no hay guerra alguna;1
242;"Evadir, Saquear, Quemar, Destruir. Feminazismo, Política de bonos, ladrona y delincuente. Te saqueamos y dejamos sin empleo.
#NuevaConstitucionChavista #RECHAZO";Santiago, Chile;1199;738;5358;05/12/2017 1:08;09/11/2020 20:33;0;[{'text': 'Inmigrante', 'indices': [41, 52]}];@Ferantonia28 Inmigrantes, la palabra es #Inmigrante.;1
244;Nunca convencerás a un ratón de que un gato negro trae suerte 🖤😼;;254;72;1986;18/05/2020 4:26;09/11/2020 20:29;0;[];Tenés mala leche, sorete,negro de mierda https://t.co/JlYF3WCBhx;1
254;;;967;101;2026;09/06/2010 22:29;09/11/2020 20:19;0;[];@estebancarranco Ya dejelen allá, negro de mierda;1
268;¿Tienes datos que soporten esa afirmación? #ProRobot;;698;446;8327;03/03/2020 4:42;09/11/2020 20:05;0;[];Increíble, guevonsote tu eres un inmigrante ilegal https://t.co/zGrLa6HrA8;1
285;Wsp : 2235207740;;293;305;32203;13/07/2012 19:32;09/11/2020 19:48;0;[];Este negro de mierda mirándole las cosas a mi amigo , lo voy hacer mierda;1
296;Qué tiempos serán los que vivimos, que hay que defender lo obvio❓🔸☆ Dios, Bendiga a Chile🇨🇱 Defendamos la familia y la Patria🇨🇱 ♡ #Patriota #Cristiana;Chile 🇨🇱 #SomosLaResistencia;2045;3569;63678;03/05/2011 20:34;09/11/2020 19:37;0;[];@jpilarl @ElBaquedanocl Vi otro video de otro inmigrante desnudo por la calle corriendo, también el de una mujer. Ósea traen a Chile gente con problemas psiquiátricos y tu lo ves muy normal;1
297;"DEMOCRACIA REPUBLICANA
LIBERAL SIN VUELTAS
Bebo para hacer que otras personas sean más interesantes
Hemingway - Roca - Borges - Piazzolla
San Lorenzo de Almagro";Buenos Aires, Argentina;2312;1936;23014;22/05/2012 2:18;09/11/2020 19:37;0;[];@ninofrat Amando el pobrismo sudaca y el fracaso.;1
298;Virgen del Carmen Patrona de 🇨🇱 ruega por nosotros, Dios  proteje a Chile del maligno.👹;Chile Chile;3409;2867;59471;03/09/2010 0:26;09/11/2020 19:32;0;[];Que cara de raja, esta inmigrante, no lo exigió en su país, y lo viene a exigir a nosotros, no apoyaron a sus compatriotas y viene a causar desorden público a Chile . https://t.co/ffLYxeWo0Y;1
304;;UNITED STATES OF AMERICA;58;227;48421;16/11/2013 0:50;09/11/2020 19:26;0;[];@MartinA24666231 @ActualidadRT @sputnikvaccine Como a quien explota USA en sudaca?? Ustedes y su mediocridades su incapacidad de salir adelante por si solos quieren culpar a alguien de su desgracia?? Ustedes llevan en la sangre la corupsion. Y por eso ningunos funcionan. A llorar a su mami;1
313;soy macrista,  ...soy antikaka, anti Porota.  me seguís, yo te sigooooo !!!😅No me gustan las trapos verdes. Macri te extraño.;Castelar.Prov.Bs.As.Argentina;4788;4488;23566;20/01/2018 23:49;09/11/2020 19:16;0;[];@evoespueblo @alferdez Espero que no vuelvas más a mi pais. Negro de mierda, pedófilo, narco, comunista. HDP !!!😠😡;1
318;Freedom fighter;Bilbao, España;550;386;3079;18/04/2020 12:04;09/11/2020 19:11;0;[];Alemania: un inmigrante musulmán recibe 4,5 años por matar a un bombero, y un alemán 10 años por un petardo en una mezquita. https://t.co/VLVP8L4kSD;1
327;;Buenos Aires, Argentina;274;28;1302;19/04/2020 20:56;09/11/2020 19:03;0;[];@1dolar1juan Si. Prefiero pagar un aborto y no 17 años de AUH a un negro de mierda.;1
333;"Tienen lleno el vaso pero esta escaso de contenido.

Fan de @DanannRock";Buenos Aires, Argentina;668;234;5595;03/11/2016 20:22;09/11/2020 18:56;0;[];@ClanNoLimit1 @FALOPAA24 @Juansval3 @douwdromen Europeo dice ser este peruano panchito 🤣😂🤣😂;1
336;🇪🇸🇪🇸 NO DEIS PÁBULO A LAS BOMBAS DE HUMO!! QUE NO OS DESPISTEN!! (No contesto podemongadas).;;1382;1348;404;16/10/2020 11:09;09/11/2020 18:52;0;[];"TIENEN PARA:
140.000 € y pactar 100 plazas de jueces, para enchufar amigos con un gasto anual de 15.000.000 €. Para payasadas de colores rosa, mosquiteras, coches, algoritmos machistas y etc. Para 7000€ por INMIGRANTE ILEGAL. Para sus salarios SI. https://t.co/l3CxZC33kg";1
338;"Coffee Addiction ☕ Travel & Travel 🌎 






 Newell's ❤️⚫ FDER ⚖️";Rosario, Argentina;36;579;1549;24/09/2019 3:24;09/11/2020 18:50;0;[];Tévez negro de mierda segundo arquero que lesionas https://t.co/cNiHbKtJl2;1
340;;;103;111;11535;29/01/2012 18:47;09/11/2020 18:50;0;[];"@salvadorsanvil1 @bohemio1962 ERES UNA INMIGRANTE.
Más claro?";1
361;"Taurino ♉
Locura por los Fierros 👊✊ Honda 💕
San Cristóbal- Santa Fe
21 Años
Puto el q lee";;735;789;15934;28/08/2014 16:00;09/11/2020 18:25;0;[];lindo pelo para cortarlo con la trincheta dijo el negro de mierda, los pelos de la chota me podes cortar la concha de tu madre;1
363;24 años Minarquista. antipopulachos/socialistoides/comunistas.;;556;371;5464;26/09/2014 16:27;09/11/2020 18:23;0;[];@VozzFire Que güeá más estúpida , que se vaya exigir weas a su país la inmigrante conchesumare;1
380;Sección de Internacional de El Periódico, el diario de referencia de Catalunya @elperiodico En catalán: @EP_internac_cat;Barcelona;757;1408;43266;23/02/2012 18:19;09/11/2020 18:04;1;[];Osama Hosna: inmigrante, musulmán y héroe del atentado yihadista de Viena https://t.co/XZ3s0yeDcu;1
386;Soy lo que España necesita que sea.;Siempre a tu derecha;6920;18443;29668;23/11/2016 19:27;09/11/2020 17:58;47;[];"Así ha dejado la oreja un inmigrante ilegal a una mujer que tiene un estanco en Pamplona, porque no lo apetecía pagar el tabaco y la mujer ha intentado pararlo

Imagino que Irene Montero lo condenará como violencia machista intolerable.

Ah no, que si es morenito no hay delito.. https://t.co/sF9C02Ced3";1
387;"Un medio que te dice las cosas como son.

https://t.co/KbIDWwJyO9";Chile;1235;11482;820;28/02/2020 13:52;09/11/2020 17:57;12;[];Compleja situación se vivió la semana pasada tras encontrarse un inmigrante desnudo generando daños a automóviles particulares en las calles de Santiago. https://t.co/pmNojwD5cF;1
390;"Productor Audiovisual - Fotógrafo  - Desarrollo Web  - Redes 
Cuenta personal
💚 #LaOEAEsGolpista #SiAlaReformaJudicial";Buenos Aires;1382;2554;46959;19/01/2010 15:37;09/11/2020 17:56;0;[];@Libertarados2 Eso que Trump no le hace asco a nada pero tampoco se va a coger una sudaca.;1
395;"Con el corazón a la izquierda; y la cabeza...todavía más a la izquierda. SÓLO LA DERECHA ESPAÑOLA ME DA MÁS ASCO QUE LA AMERICANA. Muchos años siendo de Madrid.";Madrid, Comunidad de Madrid;4995;2121;4955;22/05/2020 14:33;09/11/2020 17:53;0;[];@Lola55987592 @salvadorsanvil1 O sea, que sí es una inmigrante?. Peor todavía!;1
409;Coincidir con alguien en tanto es lo maximo 🐁;Imperio Mexica 🇲🇽;1441;1774;4036;28/10/2020 23:11;09/11/2020 17:41;2;[];Putin esta muy preocupado por lo que dice el apestoso inmigrante de Ramos... https://t.co/jVdTnZAm2n;1
413;"Rama Lama Ding Dong.
Donde haya una mentira, abuso o injusticia, allí estaré para denunciarlo.";Mentières, France;84;34;97;28/04/2011 11:32;09/11/2020 17:36;0;[];@ziberiaI Suficiente con que te vayas a tu puto país, sudaca;1
427;el masturbasuceso;Boedo;196;947;3657;06/12/2018 15:01;09/11/2020 17:18;0;[];Mario no cree en la vacuna rusa porque es un negro de mierda que nunca estudió y además es un negro de mierda;1
437;Yo he visto cosas que vosotros no creeríais.....libertad de Expresión en España 🇪🇸;;36;2;73;24/06/2011 17:22;09/11/2020 17:09;0;[];"@Eligorricho @ivanedlm @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS No le va a pasar nada, el inmigrante pertenece a una minoría oprimida en riesgo de exclusión social, si llega a ser su novio y español la vida arruinada y anunciado a bombo en la sexta.
Ambos casos estaría igual de mal el acto, pero con distintas consecuencias para el autor.";1
442;Marketing team for @massive_gg;España;247;3630;3399;12/04/2020 10:59;09/11/2020 17:06;0;[];@elfanta_ de vuelta a la palmera panchito cabron;1
448;2+2=4;Bristol;261;68;1816;01/08/2020 17:09;09/11/2020 16:54;0;[];Esto es intolerable. Ya vemos los resultados de empoderar al inmigrante ilegal https://t.co/2V0Duer6Bm;1
449;"ANTIKIRCHNERISTA - ANTICOMUNISTA - ANTIPERONCHA - ANTIMONTONERA - ANTIZAFFARONISTA
Quiero una Argentina sin caudillos.";;93;31;1029;08/04/2020 19:02;09/11/2020 16:53;0;[];@evoespueblo @alferdez Que suerte que te fuiste, negro de mierda;1
450;"Con la verdad siempre. 
Sea Educad@ cn sus palabras, sino Block! Viva España,Viva el Rey🇪🇦 #SanchezTraidor #SiguemeYTesigo #SanchezDimision #SanchezVeteYa";En la mejor ciudad del mundo😁;1594;1486;12916;10/04/2011 23:41;09/11/2020 16:53;0;[];"@iunida @agarzon Hay más pobreza que nunca desde que habéis entrado. Que triste......  
Creo que es mejor ser inmigrante o venir en patera, te ayudan más para prosperar.
Venga k la gente siga vitando a ésta panda....
a ver quien se toma una Cocacola en un bar ahora.....";1
457;Española y Andaluza hasta la muerte 🇪🇦🌹;;2435;1869;18661;31/03/2020 20:47;09/11/2020 16:43;0;[];@Eligorricho @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS Que fuerte que hdp, y este ataque no lo va a denunciar la ministra de igual-da porque la agresora es una inmigrante y tienen más derecho que nosotros, pagar tampoco porque no tendrá ni una cuenta, un día en el calabozo y un bocadillo y a la calle así está es la España;1
468;#MakeArgentinaGreatAgain 🤠🐎🥟🧉🇦🇷;Johnny Rotten for President;207;140;3918;23/02/2014 3:44;09/11/2020 16:33;0;[];@radiomitre No vuelvas nunca más negro de mierda;1
470;"👻: agussrivera22
Pehuajó
♏";;71;121;2865;22/12/2013 18:31;09/11/2020 16:33;0;[];Para el que labura y se rompe el lomo pagando los impuestos mil vueltas, para un negro de mierda que no tiene ningún papel que se asocia con un abogado tranfuga igual a él y se quieren apropiar de lo que no es suyo todo perfecto, que lindo país, que linda ciudad.;1
489;Getafe C.F. @realmadrid y lo que diga Don José Bordalás, en ratos libres controlador de tráfico aéreo.;Getafe, España;1722;563;8082;26/02/2020 17:12;09/11/2020 16:06;0;[];@Atleti_Colombia Hombre un panchito;1
493;;Bogotá, D.C., Colombia;305;40;775;25/04/2016 4:14;09/11/2020 16:03;0;[];No quiero sonar xenófobo, pero en Colombia necesitamos un Trump que nos saque tanto inmigrante venezolano. 😔;1
506;Alguien que busca pasarla bien sin complicaciones.;Guayaquil, Ecuador;548;250;1398;08/08/2017 0:45;09/11/2020 15:52;0;[];@Libertadores @_felipemelo_ @Palmeiras Ya era hora, que se joda ese miserable que hace ver tan horrible al fútbol, es un deporte de contacto y todo, pero ese negro de mierda, mal dato, la caga toda, cae del culo ese cara de verga;1
512;Cuenta la leyenda que si tocas muchos los huevos te llevas una hostia fijo;;562;411;7471;14/06/2015 15:44;09/11/2020 15:34;0;[];@Raggingdepress1 @Mariam87346377 @PatriotaNene @rosalalejandria Tambien puedes llevarte a uno y que te rebanen el cuello como ocurrió con el inmigrante terrorista que mató a 3 personas y decapitó a una mujer negra en Niza. Llegó 20 días antes a Lampedusa. https://t.co/9ReAlXsenl;1
514;Soy BOSTERO de corazon 🎧🎵 ♥, amante del café,♥amor a la birra y me gustan las morochas 🍺seguime dale :)?https://t.co/3m7sxaBeJ1…;Congreso , Caba;79;140;18815;23/04/2011 4:30;09/11/2020 15:30;0;[{'text': 'Tobio', 'indices': [0, 6]}];#Tobio encima de malísimo defendiendo , un asesino, ojalá termine en la carcel , mínimo 15 años, negro de mierda.;1
515;Navarra y Española. Candidata a la Alcaldía de Pamplona 2019. VOX ESPAÑA #VoxNiUnPasoAtras🇪🇸;Pamplona;1661;11118;23051;24/08/2010 9:27;09/11/2020 15:29;978;[];"👉Está salvajada ha pasado hoy en el centro de Pamplona‼️

👉Un Inmigrante ilegal entra un estanco pide un paquete de tabaco y dice que se lo cobre a @gob_na‼️

👉La pobre chica sale detrás y recibe un puñetazo en la cara, diciéndole que la próxima vez la apuñalara‼️

Sigue 👎 https://t.co/FNglMhthmt";1
517;SOMOS NUESTROS PROPIO DEMONIO Y HACEMOS DE ESTE MUNDO NUESTRO PROPIO INFIERNO;ESPAÑA;374;169;2930;21/10/2012 21:55;09/11/2020 15:28;0;[];@aburrido_de @IreneMontero ¿En qué se parece esta escena a una agresión real de un hombre inmigrante a una mujer? Que @IgualdadGob,  @IreneMontero y la piara que las siguen se callan como puertas;1
524;Respeto;Islas Canarias, España;390;258;5330;03/01/2019 18:38;09/11/2020 15:18;0;[];@eledhmel Pones el ejemplo de una inmigrante mentirosa. Las mujeres honradas no queremos que nos quiten ni un derecho. Y las que cometan un delito deben ir a la carcel.;1
537;;Cali, Colombia;410;19;1184;24/01/2019 4:42;09/11/2020 15:06;0;[];@GusOrdonez Sudaca hijo de puta;1
550;"Europa es: derecho romano, filosofía griega y cristianismo. 
Frenemos la Agenda globalista 2030
La tierra es de quienes la defienden. #Europadespierta 📢";Asturias, Principado de Asturi;326;382;5014;26/08/2020 15:56;09/11/2020 14:53;0;[];"Un estado de derecho debería expulsar a todo inmigrante que ya no trabaje. El español se queda pq es su patria. El trabajo y recursos sociales deben de ser solo para los nacionales.
Ya recapitularemos contra los gobernantes apátridas y globalistas 

Veo mucho moreno en la cola... https://t.co/SaCvUXIGXY https://t.co/cMiaNdGEC5";1
564;24 • Camarera • Turismo • Técnico en TASOT • Stay close to anything that makes you glad you are alive • Stay With Me @JoelSantosR;¡Gomera afincada en Tenerife!;107;542;33630;21/01/2010 15:28;09/11/2020 14:39;0;[];Niño lo de las pateras ya no es normal. Donde cojones esta el gobierno parando las putas mafias? No hay de comer para la gente de aqui menos para ayudar a tanto inmigrante... pffff;1
579;;;441;114;6070;13/12/2009 19:19;09/11/2020 14:26;0;[{'text': 'ContigoEnLaManana', 'indices': [0, 18]}];"#ContigoEnLaManana
Inmigrante.. 
Drogadicto.. 
Agresivo...
Situación de calle... 
Que linda la herencia de inmigración del gobierno anterior...";1
